start_time,end_time,activity
2011-12-02 01:19:09.000000000,2011-12-02 02:08:17.000000000,Spare_Time/TV
2011-12-02 02:09:33.000000000,2011-12-02 02:13:56.000000000,Grooming
2011-12-02 02:15:55.000000000,2011-12-02 12:15:19.000000000,Sleeping
2011-12-02 12:16:00.000000000,2011-12-02 12:20:40.000000000,Toileting
2011-12-02 12:20:41.000000000,2011-12-02 12:20:59.000000000,Grooming
2011-12-02 12:21:19.000000000,2011-12-02 12:25:40.000000000,Showering
2011-12-02 12:27:47.000000000,2011-12-02 12:35:49.000000000,Breakfast
2011-12-02 12:37:47.000000000,2011-12-02 14:46:29.000000000,Spare_Time/TV
2011-12-02 14:47:00.000000000,2011-12-02 15:20:00.000000000,Lunch
2011-12-02 15:24:05.000000000,2011-12-02 15:55:12.000000000,Spare_Time/TV
2011-12-02 15:56:02.000000000,2011-12-02 15:57:55.000000000,Grooming
2011-12-02 15:58:00.000000000,2011-12-02 16:36:05.000000000,Spare_Time/TV
2011-12-02 16:37:27.000000000,2011-12-02 16:47:27.000000000,Toileting
2011-12-02 16:47:39.000000000,2011-12-02 19:39:08.000000000,Spare_Time/TV
2011-12-02 19:40:44.000000000,2011-12-02 19:40:50.000000000,Snack
2011-12-02 19:41:14.000000000,2011-12-02 21:26:09.000000000,Spare_Time/TV
2011-12-02 21:27:09.000000000,2011-12-02 21:44:37.000000000,Toileting
2011-12-02 21:46:31.000000000,2011-12-03 01:41:08.000000000,Spare_Time/TV
2011-12-03 01:47:02.000000000,2011-12-03 11:56:20.000000000,Sleeping
2011-12-03 11:57:15.000000000,2011-12-03 11:59:15.000000000,Toileting
2011-12-03 11:59:33.000000000,2011-12-03 12:01:59.000000000,Grooming
2011-12-03 12:03:36.000000000,2011-12-03 12:07:26.000000000,Showering
2011-12-03 12:10:35.000000000,2011-12-03 12:19:30.000000000,Breakfast
2011-12-03 12:21:30.000000000,2011-12-03 13:28:36.000000000,Spare_Time/TV
2011-12-03 13:29:00.000000000,2011-12-03 13:29:48.000000000,Grooming
2011-12-03 13:30:00.000000000,2011-12-03 14:01:20.000000000,Spare_Time/TV
2011-12-03 14:11:10.000000000,2011-12-03 14:14:43.000000000,Grooming
2011-12-03 14:18:11.000000000,2011-12-03 17:48:37.000000000,Leaving
2011-12-03 17:50:14.000000000,2011-12-03 23:53:24.000000000,Spare_Time/TV
2011-12-03 23:54:00.000000000,2011-12-03 23:54:51.000000000,Toileting
2011-12-03 23:55:18.000000000,2011-12-04 03:16:13.000000000,Spare_Time/TV
2011-12-04 03:19:17.000000000,2011-12-04 12:37:49.000000000,Sleeping
2011-12-04 12:39:45.000000000,2011-12-04 12:45:44.000000000,Toileting
2011-12-04 12:46:11.000000000,2011-12-04 12:47:28.000000000,Grooming
2011-12-04 12:50:56.000000000,2011-12-04 12:54:55.000000000,Showering
2011-12-04 12:56:08.000000000,2011-12-04 12:59:48.000000000,Breakfast
2011-12-04 13:00:53.000000000,2011-12-04 13:58:10.000000000,Spare_Time/TV
2011-12-04 14:00:12.000000000,2011-12-04 14:03:42.000000000,Toileting
2011-12-04 14:11:50.000000000,2011-12-04 16:31:01.000000000,Leaving
2011-12-04 16:34:00.000000000,2011-12-04 17:25:39.000000000,Spare_Time/TV
2011-12-04 17:27:03.000000000,2011-12-04 17:27:08.000000000,Snack
2011-12-04 17:27:16.000000000,2011-12-04 17:43:56.000000000,Spare_Time/TV
2011-12-04 17:45:00.000000000,2011-12-04 17:45:59.000000000,Grooming
2011-12-04 18:08:28.000000000,2011-12-04 18:57:52.000000000,Spare_Time/TV
2011-12-04 18:58:06.000000000,2011-12-04 18:59:33.000000000,Toileting
2011-12-04 18:59:53.000000000,2011-12-04 18:59:59.000000000,Snack
2011-12-04 19:00:04.000000000,2011-12-04 22:20:59.000000000,Spare_Time/TV
2011-12-04 22:21:10.000000000,2011-12-04 22:22:10.000000000,Toileting
2011-12-04 22:22:19.000000000,2011-12-05 01:28:09.000000000,Spare_Time/TV
2011-12-05 01:31:34.000000000,2011-12-05 01:31:39.000000000,Grooming
2011-12-05 01:35:10.000000000,2011-12-05 11:48:55.000000000,Sleeping
2011-12-05 11:52:33.276102400,2011-12-05 11:53:31.000000000,Toileting
2011-12-05 11:57:47.000000000,2011-12-05 11:57:55.000000000,Grooming
2011-12-05 12:01:23.000000000,2011-12-05 12:08:56.000000000,Showering
2011-12-05 12:14:49.000000000,2011-12-05 12:24:37.000000000,Breakfast
2011-12-05 13:46:29.000000000,2011-12-05 14:26:46.000000000,Spare_Time/TV
2011-12-05 14:28:36.000000000,2011-12-05 14:28:42.000000000,Grooming
2011-12-05 14:38:07.000000000,2011-12-05 14:55:06.000000000,Leaving
2011-12-05 14:57:51.000000000,2011-12-05 15:40:59.000000000,Lunch
2011-12-05 15:42:25.000000000,2011-12-05 15:43:59.000000000,Grooming
2011-12-05 15:44:00.000000000,2011-12-05 15:44:16.000000000,Toileting
2011-12-05 15:44:56.000000000,2011-12-05 16:02:10.000000000,Spare_Time/TV
2011-12-05 16:06:32.000000000,2011-12-05 16:36:32.000000000,Toileting
2011-12-05 16:37:15.000000000,2011-12-05 17:14:32.000000000,Spare_Time/TV
2011-12-05 17:17:07.000000000,2011-12-05 18:57:16.000000000,Leaving
2011-12-05 19:01:42.000000000,2011-12-05 19:24:02.000000000,Spare_Time/TV
2011-12-05 19:24:11.000000000,2011-12-05 19:24:16.000000000,Snack
2011-12-05 19:24:22.000000000,2011-12-05 20:07:19.000000000,Spare_Time/TV
2011-12-05 20:07:32.000000000,2011-12-05 20:07:47.000000000,Grooming
2011-12-05 20:08:12.000000000,2011-12-05 20:08:52.000000000,Toileting
2011-12-05 20:09:00.000000000,2011-12-05 21:06:25.000000000,Spare_Time/TV
2011-12-05 21:06:30.576174100,2011-12-05 21:06:43.000000000,Toileting
2011-12-05 21:06:44.000000000,2011-12-05 21:07:00.000000000,Grooming
2011-12-05 21:07:14.000000000,2011-12-06 00:38:24.000000000,Spare_Time/TV
2011-12-06 00:39:01.000000000,2011-12-06 00:40:41.000000000,Toileting
2011-12-06 00:42:37.000000000,2011-12-06 10:07:20.000000000,Sleeping
2011-12-06 11:08:00.000000000,2011-12-06 11:08:53.000000000,Toileting
2011-12-06 11:09:49.000000000,2011-12-06 11:11:45.000000000,Grooming
2011-12-06 11:12:19.000000000,2011-12-06 11:25:57.000000000,Showering
2011-12-06 11:30:19.000000000,2011-12-06 11:35:26.000000000,Breakfast
2011-12-06 11:39:34.000000000,2011-12-06 14:37:50.000000000,Spare_Time/TV
2011-12-06 14:40:53.000000000,2011-12-06 15:15:58.000000000,Lunch
2011-12-06 15:18:35.000000000,2011-12-06 15:20:32.000000000,Grooming
2011-12-06 15:21:46.000000000,2011-12-06 17:11:04.000000000,Spare_Time/TV
2011-12-06 17:13:04.000000000,2011-12-06 17:19:04.000000000,Toileting
2011-12-06 17:19:34.000000000,2011-12-06 18:06:26.000000000,Spare_Time/TV
2011-12-06 18:07:03.000000000,2011-12-06 18:07:15.000000000,Grooming
2011-12-06 18:07:36.000000000,2011-12-06 19:22:33.000000000,Spare_Time/TV
2011-12-06 19:22:50.000000000,2011-12-06 19:22:55.000000000,Snack
2011-12-06 19:25:56.000000000,2011-12-06 19:26:20.000000000,Grooming
2011-12-06 19:40:28.000000000,2011-12-07 00:07:38.000000000,Spare_Time/TV
2011-12-07 00:07:47.000000000,2011-12-07 00:07:57.000000000,Grooming
2011-12-07 00:08:10.000000000,2011-12-07 00:54:50.000000000,Spare_Time/TV
2011-12-07 00:57:29.000000000,2011-12-07 00:57:53.000000000,Toileting
2011-12-07 00:59:56.000000000,2011-12-07 10:45:40.000000000,Sleeping
2011-12-07 10:46:15.000000000,2011-12-07 10:49:26.000000000,Toileting
2011-12-07 10:50:38.000000000,2011-12-07 11:04:19.000000000,Grooming
2011-12-07 11:05:51.000000000,2011-12-07 11:11:32.000000000,Showering
2011-12-07 11:12:17.000000000,2011-12-07 11:20:04.000000000,Breakfast
2011-12-07 11:22:58.000000000,2011-12-07 13:56:10.000000000,Spare_Time/TV
2011-12-07 14:03:34.000000000,2011-12-07 14:39:30.000000000,Lunch
2011-12-07 14:41:59.000000000,2011-12-07 15:28:03.000000000,Spare_Time/TV
2011-12-07 15:31:23.000000000,2011-12-07 15:31:41.000000000,Grooming
2011-12-07 15:31:42.000000000,2011-12-07 15:31:46.000000000,Toileting
2011-12-07 15:32:15.000000000,2011-12-07 16:11:28.000000000,Spare_Time/TV
2011-12-07 16:15:26.000000000,2011-12-07 16:21:09.000000000,Grooming
2011-12-07 16:25:45.000000000,2011-12-07 18:12:36.000000000,Leaving
2011-12-07 18:14:56.000000000,2011-12-07 18:14:59.000000000,Grooming
2011-12-07 18:15:00.000000000,2011-12-07 18:15:03.000000000,Toileting
2011-12-07 18:15:51.000000000,2011-12-07 19:21:46.000000000,Spare_Time/TV
2011-12-07 19:23:55.000000000,2011-12-07 19:28:46.000000000,Snack
2011-12-07 20:37:50.000000000,2011-12-07 20:38:18.000000000,Snack
2011-12-07 20:39:16.000000000,2011-12-07 20:39:44.000000000,Toileting
2011-12-07 20:40:29.000000000,2011-12-07 20:42:35.000000000,Spare_Time/TV
2011-12-07 20:52:23.000000000,2011-12-07 23:19:30.000000000,Spare_Time/TV
2011-12-07 23:19:40.000000000,2011-12-07 23:19:56.000000000,Toileting
2011-12-07 23:20:16.000000000,2011-12-08 01:32:32.000000000,Spare_Time/TV
2011-12-08 01:39:41.000000000,2011-12-08 11:14:29.000000000,Sleeping
2011-12-08 11:17:37.000000000,2011-12-08 11:17:48.000000000,Grooming
2011-12-08 11:17:49.000000000,2011-12-08 11:17:58.000000000,Toileting
2011-12-08 11:18:02.000000000,2011-12-08 11:18:13.000000000,Grooming
2011-12-08 11:19:22.000000000,2011-12-08 11:24:17.000000000,Showering
2011-12-08 11:25:12.000000000,2011-12-08 11:34:01.000000000,Breakfast
2011-12-08 11:36:09.000000000,2011-12-08 13:41:19.000000000,Spare_Time/TV
2011-12-08 14:04:49.000000000,2011-12-08 14:05:01.000000000,Grooming
2011-12-08 14:10:03.000000000,2011-12-08 16:21:41.000000000,Leaving
2011-12-08 16:24:27.000000000,2011-12-08 22:13:23.000000000,Spare_Time/TV
2011-12-08 22:13:35.000000000,2011-12-08 22:13:49.000000000,Grooming
2011-12-08 22:14:14.000000000,2011-12-08 23:12:37.000000000,Spare_Time/TV
2011-12-08 23:14:09.000000000,2011-12-08 23:14:27.000000000,Grooming
2011-12-08 23:14:35.000000000,2011-12-09 01:03:07.000000000,Spare_Time/TV
2011-12-09 01:04:24.000000000,2011-12-09 01:05:43.000000000,Grooming
2011-12-09 01:16:42.000000000,2011-12-09 10:49:07.000000000,Sleeping
2011-12-09 10:51:39.014276700,2011-12-09 10:52:27.000000000,Toileting
2011-12-09 10:52:30.000000000,2011-12-09 10:52:50.000000000,Grooming
2011-12-09 10:54:58.000000000,2011-12-09 10:58:21.000000000,Showering
2011-12-09 11:00:13.000000000,2011-12-09 11:08:15.000000000,Breakfast
2011-12-09 11:09:35.000000000,2011-12-09 12:32:57.000000000,Spare_Time/TV
2011-12-09 12:33:21.000000000,2011-12-09 12:42:15.000000000,Grooming
2011-12-09 12:44:16.000000000,2011-12-09 16:33:56.000000000,Leaving
2011-12-09 16:45:53.000000000,2011-12-09 16:59:52.000000000,Spare_Time/TV
2011-12-09 17:01:37.000000000,2011-12-09 17:04:57.000000000,Toileting
2011-12-09 17:06:38.000000000,2011-12-09 17:59:19.000000000,Spare_Time/TV
2011-12-09 17:59:25.000000000,2011-12-09 17:59:27.000000000,Grooming
2011-12-09 18:02:18.000000000,2011-12-09 18:19:03.000000000,Spare_Time/TV
2011-12-09 18:32:02.000000000,2011-12-09 18:48:36.000000000,Leaving
2011-12-09 19:19:54.000000000,2011-12-09 21:04:31.000000000,Spare_Time/TV
2011-12-09 21:04:37.000000000,2011-12-09 21:04:50.000000000,Grooming
2011-12-09 21:04:59.000000000,2011-12-10 00:16:21.000000000,Spare_Time/TV
2011-12-10 00:16:31.000000000,2011-12-10 00:16:49.000000000,Grooming
2011-12-10 00:17:05.000000000,2011-12-10 00:46:13.000000000,Spare_Time/TV
2011-12-10 00:50:47.000000000,2011-12-10 09:26:17.000000000,Sleeping
2011-12-10 09:28:00.000000000,2011-12-10 09:35:48.000000000,Toileting
2011-12-10 09:37:16.000000000,2011-12-10 09:46:27.000000000,Grooming
2011-12-10 09:47:44.000000000,2011-12-10 09:52:42.000000000,Showering
2011-12-10 09:55:18.000000000,2011-12-10 10:02:10.000000000,Breakfast
2011-12-10 10:03:20.000000000,2011-12-10 12:34:09.000000000,Spare_Time/TV
2011-12-10 12:52:54.000000000,2011-12-10 12:53:39.000000000,Grooming
2011-12-10 13:04:03.000000000,2011-12-10 17:07:03.000000000,Leaving
2011-12-10 17:11:23.000000000,2011-12-10 20:16:51.000000000,Spare_Time/TV
2011-12-10 20:21:54.000000000,2011-12-10 20:23:16.000000000,Grooming
2011-12-10 20:25:40.000000000,2011-12-11 00:56:05.000000000,Leaving
2011-12-11 01:01:41.000000000,2011-12-11 02:26:29.000000000,Spare_Time/TV
2011-12-11 02:27:23.000000000,2011-12-11 02:28:44.000000000,Grooming
2011-12-11 02:31:15.000000000,2011-12-11 11:57:34.000000000,Sleeping
2011-12-11 11:58:17.000000000,2011-12-11 12:01:27.000000000,Toileting
2011-12-11 12:02:25.000000000,2011-12-11 12:02:39.000000000,Grooming
2011-12-11 12:02:56.000000000,2011-12-11 12:18:42.000000000,Showering
2011-12-11 12:21:57.000000000,2011-12-11 12:30:09.000000000,Breakfast
2011-12-11 12:32:49.000000000,2011-12-11 14:26:18.000000000,Spare_Time/TV
2011-12-11 14:34:12.000000000,2011-12-11 15:26:17.000000000,Lunch
2011-12-11 15:28:36.647065200,2011-12-11 15:30:14.000000000,Toileting
2011-12-11 15:41:34.000000000,2011-12-11 15:43:30.000000000,Grooming
2011-12-11 15:43:51.000000000,2011-12-11 18:00:00.000000000,Spare_Time/TV
